Time between fidgets	Walk Animation Time	Attack Animation Time	Flight Animation Distance	Upper-right Missile Offset		Right Missile Offset		Lower-right Missile Offset		Missile Frame Angles												Troop Count Location Offset	Attack Climax Frame	Name (reference only)
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Stone Golem
0.5	0.25	0.5	0.5	25	-105	38	-98	16	-92	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	9	Mage
0.5	0.25	0.5	0.5	28	-107	43	-99	18	-92	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	9	Arch Mage
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Genie
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Caliph
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Naga Sentinel
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Naga Guardian
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Lesser Titan
0.5	0.35	0.5	0.5	11	-131	76	-87	19	-1	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	6	Greater Titan
																								                                   


0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Imp
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Familiar
0.5	0.35	0.5	0.5	37	-88	69	-50	14	-6	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	6	Gog
0.5	0.35	0.5	0.5	38	-89	69	-51	15	-9	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	6	Magog
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hell Hound
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cerberus
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Single-Horned Demon
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Dual-Horned Demon
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pit Fiend
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pit Foe
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Efreet
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Efreet Sultan
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Devil
0.5	0.25	0.5	0.5	10	-70	10	-70	10	-70	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	0	Arch Devil



0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Skeleton
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Skeleton Warrior
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Zombie
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Zombie Lord
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wight
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wraith
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Vampire
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nosferatu
0.5	0.25	0.5	0.5	49	-97	65	-82	33	-12	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	8	Lich
0.5	0.25	0.5	0.5	41	-92	58	-79	29	-14	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	8	Power Lich
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Black Knight
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Black Lord
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bone Dragon
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ghost Dragon



0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Troglodyte
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Infernal Troglodyte
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Harpy
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Harpy Hag
0.5	0.25	0.5	0.5	14	-73	14	-70	9	-60	0	0	0	0	0	0	0	0	0	0	0	0	0	5	Beholder
0.5	0.25	0.5	0.5	13	-72	13	-69	7	-60	0	0	0	0	0	0	0	0	0	0	0	0	0	5	Evil Eye
0.5	0.25	0.5	0.5	76	-79	72	-63	53	-53	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	9	Medusa
0.5	0.25	0.5	0.5	75	-65	75	-50	70	-45	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	9	Medusa Queen
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Minotaur
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Minotaur King
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Manticore
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Scorpicore
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Red Dragon
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Black Dragon



0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Goblin
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hobgoblin
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Goblin Wolf Rider
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hobgoblin Wolf Rider
0.5	0.25	0.5	0.5	42	-83	43	-66	33	-26	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	4	Orc
0.5	0.25	0.5	0.5	34	-88	37	-66	32	-28	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	4	Orc Chieftain
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ogre
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ogre Mage
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Roc
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Thunderbird
0.5	0.25	0.5	0.5	55	-115	53	-84	40	-59	0	0	0	0	0	0	0	0	0	0	0	0	0	7	Cyclops
0.5	0.25	0.5	0.5	55	-115	53	-84	38	-54	0	0	0	0	0	0	0	0	0	0	0	0	0	7	Cyclops Lord
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Young Behemoth
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ancient Behemoth



0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gnoll
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gnoll Marauder
0.5	0.2	0.5	0.5	34	-76	47	-65	26	-55	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	9	Primitive Lizardman
0.5	0.2	0.5	0.5	39	-76	49	-66	25	-56	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	9	Advanced Lizardman
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Copper Gorgon
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bronze Gorgon
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Dragon Fly
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fire Dragon Fly
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basilisk
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Greater Basilisk
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wyvern
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wyvern Monarch
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hydra
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Chaos Hydra



0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Air Elemental
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Earth Elemental
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fire Elemental
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Water Elemental
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gold Golem
0.5	0.35	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Diamond Golem



0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pixie
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprite
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Psi Elemental
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Magic Elemental
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NOT USED
0.5	0.25	0.5	0.5	28	-107	43	-99	18	-92	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	4	Ice Elemental
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NOT USED
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Stone Elemental
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NOT USED
0.5	0.35	0.5	0.5	50	-100	80	-80	45	-40	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	4	Storm Elemental
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NOT USED
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fire Elemental
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Firebird
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Pheonix



0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Azure Dragon
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Crystal Dragon
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fairie Dragon
0.5	0.2	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rust Dragon
0.5	0.25	0.5	0.5	37	-98	62	-53	28	3	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	6	Enchanter
0.5	0.35	0.5	0.5	32	-77	40	-61	18	-55	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	11	Sharpshooter
0.5	0.25	0.5	0.5	32	-77	40	-61	18	-55	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	10	Halfling
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peasant
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Boar
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Mummy
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nomad
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rogue
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Troll



0.5	0.25	0.5	0.5	69	-119	69	-119	69	-119	0	0	0	0	0	0	0	0	0	0	0	0	0	4	Catapult
0.5	0.25	0.5	0.5	57	-104	101	-75	53	-36	90	72	45	27	0	-27	-45	-72	-90	0	0	0	0	5	Ballista
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	First-Aid Tent
0.5	0.25	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ammo Cart
