Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
																								
																								
																								
小妖精	小妖精	0	0	0	0	0	0	30	55	44	16	0	4	4	3	3	1	2	0	0	20	50		0
大妖精	大妖精	0	0	0	0	0	0	40	55	66	16	0	4	5	4	4	1	2	8	0	20	30	远程攻击。	SHOOTING_ARMY
石像鬼	石像鬼	0	0	0	0	0	0	130	150	165	9	4	16	6	6	6	2	3	0	0	16	30		FLYING_ARMY
石像怪	石像怪	0	0	0	0	0	0	160	155	201	9	4	16	9	7	7	2	3	0	0	16	25		FLYING_ARMY
石人	石人	0	0	0	0	0	0	150	339	250	6	0	30	3	7	10	4	5	0	0	12	25	受魔法攻击时损伤减少50%。	0
铁人	铁人	0	0	0	0	0	0	200	412	412	6	0	35	5	9	10	4	5	0	0	12	20	受魔法攻击时损伤减少75%。	0
法师	法师	0	0	0	0	0	0	350	418	570	4	0	25	5	11	8	7	9	24	0	10	20	肉搏战中杀伤力不减。英雄使用魔法时魔法值消耗较小。	SHOOTING_ARMY | const_no_melee_penalty
大法师	大法师	0	0	0	0	0	0	450	467	680	4	0	30	7	12	9	7	9	24	0	10	16	肉搏战中杀伤力不减。英雄使用魔法时魔法值消耗较小。	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty
神怪	神怪	0	0	0	0	0	0	550	680	884	3	0	40	7	12	12	13	16	0	0	8	16	火精灵的死敌。	FLYING_ARMY
神怪主	神怪主	0	0	0	0	0	0	600	748	942	3	0	40	11	12	12	13	16	0	3	8	12	"对盟友随机施放有益魔法。
火精灵的死敌。"	FLYING_ARMY
蛇女	蛇女	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	20	20	0	0	5	12	敌人无法反击。	DOUBLE_WIDE
蛇妖	蛇妖	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	16	13	30	30	0	0	5	10	敌人无法反击。	DOUBLE_WIDE
巨人	巨人	0	0	0	0	0	1	2000	3146	3718	1	0	150	7	19	16	40	60	0	0	4	10	不怕心智魔法。	KING_3
泰坦巨人	泰坦巨人	0	0	0	0	0	2	5000	5000	7500	1	0	300	11	24	24	40	60	24	0	3	8	肉搏战中杀伤力不减。不怕心智魔法。黑龙的死敌。	SHOOTING_ARMY | const_no_melee_penalty | KING_3
                                   																								
																								
																								
小怪物	小怪物	0	0	0	0	0	0	50	50	50	15	8	4	5	2	3	1	2	0	0	20	50		0
怪物	怪物	0	0	0	0	0	0	60	60	60	15	8	4	7	4	4	1	2	0	0	20	30	将部分敌人消耗的魔法值加到已方英雄的魔法值中。	0
歌革	歌革	0	0	0	0	0	0	125	145	159	8	0	13	4	6	4	2	4	12	0	16	30		SHOOTING_ARMY
玛各	玛各	0	0	0	0	0	0	175	210	240	8	0	13	6	7	4	2	4	24	0	16	25	火球攻击。	SHOOTING_ARMY
地狱猎犬	地狱猎犬	0	0	0	0	0	0	200	275	357	5	3	25	7	10	6	2	7	0	0	12	25		DOUBLE_WIDE | FLYING_ARMY
三首猎犬	三首猎犬	0	0	0	0	0	0	250	308	392	5	3	25	8	10	8	2	7	0	0	12	20	"攻击3个敌人。
敌人无法反击。"	DOUBLE_WIDE | FLYING_ARMY
恶鬼	恶鬼	0	0	0	0	0	0	250	445	445	4	0	35	5	10	10	7	9	0	0	10	20		0
长角恶鬼	长角恶鬼	0	0	0	0	0	0	270	480	480	4	0	40	6	10	10	7	9	0	0	10	16		0
邪神	邪神	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	0	8	16		0
邪神王	邪神王	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	0	1	8	12	使已方死亡的部队复活并变成恶鬼。	0
火精灵	火精灵	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	0	5	12	不怕火系魔法。神怪的死敌。	0
烈火精灵	烈火精灵	0	0	0	0	0	0	1100	1584	1848	2	0	90	13	16	14	16	24	0	0	5	10	拥有烈火神盾。不怕火系魔法。神怪的死敌。	0
恶魔	恶魔	0	1	0	0	0	0	2700	3759	5101	1	0	160	11	19	21	30	40	0	0	4	10	敌人运气-1，且无法反击。天使的死敌。	FLYING_ARMY | KING_2
大恶魔	大恶魔	0	2	0	0	0	0	4500	5243	7115	1	0	200	17	26	28	30	40	0	0	3	8	敌人运气-1，且无法反击。天使的死敌。	FLYING_ARMY | KING_2
																								
																								
																								
骷髅兵	骷髅兵	0	0	0	0	0	0	60	75	60	12	6	6	4	5	4	1	3	0	0	20	50	丧尸。	IS_UNDEAD
骷髅勇士	骷髅勇士	0	0	0	0	0	0	70	85	85	12	6	6	5	6	6	1	3	0	0	20	30	丧尸。	IS_UNDEAD
行尸	行尸	0	0	0	0	0	0	100	140	98	8	0	15	3	5	5	2	3	0	0	16	30	丧尸。	IS_UNDEAD
僵尸	僵尸	0	0	0	0	0	0	125	160	128	8	0	20	4	5	5	2	3	0	0	16	25	"丧尸。
使敌人染病。"	IS_UNDEAD
幽灵	幽灵	0	0	0	0	0	0	200	231	252	7	0	18	5	7	7	3	5	0	0	12	25	丧尸。可恢复生命值。	FLYING_ARMY | IS_UNDEAD
阴魂	阴魂	0	0	0	0	0	0	230	252	315	7	0	18	7	7	7	3	5	0	0	12	20	"丧尸。可恢复生命值。
吸取敌人的魔法值。"	FLYING_ARMY | IS_UNDEAD
吸血鬼	吸血鬼	0	0	0	0	0	0	360	518	555	4	0	30	6	10	9	5	8	0	0	10	20	"丧尸。
敌人无法反击。"	FLYING_ARMY | IS_UNDEAD
吸血鬼王	吸血鬼王	0	0	0	0	0	0	500	652	783	4	0	40	9	10	10	5	8	0	0	10	16	"丧尸。 吸取敌人的生命值。
敌人无法反击。"	FLYING_ARMY | IS_UNDEAD
尸巫	尸巫	0	0	0	0	0	0	550	742	848	3	0	30	6	13	10	11	13	12	0	8	16	丧尸。 用死亡之云攻击。	SHOOTING_ARMY | IS_UNDEAD
尸巫王	尸巫王	0	0	0	0	0	0	600	889	1079	3	0	40	7	13	10	11	15	24	0	8	12	丧尸。 用死亡之云攻击。	SHOOTING_ARMY | IS_UNDEAD
暗黑骑士	暗黑骑士	0	0	0	0	0	0	1200	1753	2087	2	0	120	7	16	16	15	30	0	0	5	12	丧尸。诅咒敌人。	DOUBLE_WIDE | IS_UNDEAD
恐怖骑士	恐怖骑士	0	0	0	0	0	0	1500	2029	2382	2	0	120	9	18	18	15	30	0	0	5	10	"丧尸。诅咒敌人。
致命一击。"	DOUBLE_WIDE | IS_UNDEAD
骨龙	骨龙	0	0	0	0	0	0	1800	2420	3388	1	0	150	9	17	15	25	50	0	0	4	10	丧尸。敌人士气-1。	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
鬼龙 	鬼龙	0	1	0	0	0	0	3000	3228	4696	1	0	200	14	19	17	25	50	0	0	3	8	丧尸。敌人士气-1。使敌人衰老。	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
																								
																								
																								
洞穴人	洞穴人	0	0	0	0	0	0	50	73	59	14	7	5	4	4	3	1	3	0	0	20	50	不受双目失明魔法的影响。	0
地狱洞穴人	地狱洞穴人	0	0	0	0	0	0	65	84	84	14	7	6	5	5	4	1	3	0	0	20	30	不受双目失明魔法的影响。	0
鹰身女妖	鹰身女妖	0	0	0	0	0	0	130	140	154	8	0	14	6	6	5	1	4	0	0	16	30	攻击并返回。	FLYING_ARMY
鹰身女巫	鹰身女巫	0	0	0	0	0	0	170	196	238	8	0	14	9	6	6	1	4	0	0	16	25	攻击并返回。敌人无法反击。	FLYING_ARMY
邪眼	邪眼	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	0	12	25	肉搏战中杀伤力不减。	SHOOTING_ARMY | const_no_melee_penalty
毒眼	毒眼	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	0	12	20	肉搏战中杀伤力不减。	SHOOTING_ARMY | const_no_melee_penalty
美杜莎	美杜莎	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	0	10	20	"肉搏战中杀伤力不减。
将敌人石化。"	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
美杜莎女王	美杜莎女王	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	0	10	16	"肉搏战中杀伤力不减。
将敌人石化。"	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
牛头怪	牛头怪	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	0	8	16	士气高涨。	0
牛头王	牛头王	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	0	8	12	士气高涨。	0
蝎狮	蝎狮	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
毒蝎狮	毒蝎狮	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	0	5	10	使敌人麻痹。	DOUBLE_WIDE | FLYING_ARMY
赤龙	赤龙	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	0	4	10	不怕1-3级魔法。	DOUBLE_WIDE | FLYING_ARMY | KING_1
黑龙	黑龙	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	0	3	8	不怕所有魔法。	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
大耳怪	大耳怪	0	0	0	0	0	0	40	60	60	15	8	5	5	4	2	1	2	0	0	20	50		0
大耳怪王	大耳怪王	0	0	0	0	0	0	50	65	78	15	8	5	7	5	3	1	2	0	0	20	30		0
恶狼骑士	恶狼骑士	0	0	0	0	0	0	100	130	130	9	0	10	6	7	5	2	4	0	0	16	30		DOUBLE_WIDE
恶狼斗士	恶狼斗士	0	0	0	0	0	0	140	174	203	9	0	10	8	8	5	3	4	0	0	16	25	攻击2次。	DOUBLE_WIDE
半兽人	半兽人	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	0	12	25		SHOOTING_ARMY
半兽人首领	半兽人首领	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	0	12	20		SHOOTING_ARMY
食人魔	食人魔	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	0	10	20		0
食人魔王	食人魔王	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	0	3	10	16	使用嗜血奇术魔法。	0
大雕	大雕	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	11	15	0	0	8	16		FLYING_ARMY | DOUBLE_WIDE
雷鸟	雷鸟	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	11	15	0	0	8	12	闪电攻击。	FLYING_ARMY | DOUBLE_WIDE
独眼巨人	独眼巨人	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	0	5	12	攻击城墙。	SHOOTING_ARMY | CATAPULT
独眼王	独眼王	0	0	0	0	0	0	1100	1110	1443	2	0	70	8	17	13	16	20	24	0	5	10	攻击城墙。	SHOOTING_ARMY | CATAPULT
比蒙	比蒙	0	0	0	0	0	0	1500	3162	3162	1	0	160	6	17	17	30	50	0	0	4	10	攻击目标的防御力下降40%。	DOUBLE_WIDE | KING_1
比蒙巨兽	比蒙巨兽	0	0	0	0	1	0	3000	5397	6168	1	0	300	9	19	19	30	50	0	0	3	8	攻击目标的防御力下降80%。	DOUBLE_WIDE | KING_1
																								
																								
																								
狼人	狼人	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	0	20	50		0
大狼人	大狼人	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	0	20	30		0
蜥蜴人	蜥蜴人	0	0	0	0	0	0	110	115	126	9	0	14	4	5	6	2	3	12	0	16	30		SHOOTING_ARMY
蜥蜴勇士	蜥蜴勇士	0	0	0	0	0	0	140	130	156	9	0	15	5	6	8	2	5	24	0	16	25		SHOOTING_ARMY
野牛	野牛	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	12	25		DOUBLE_WIDE
蛮牛	蛮牛	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	0	12	20	用死神之眼攻击。	DOUBLE_WIDE
毒蝇	毒蝇	0	0	0	0	0	0	220	215	268	8	0	20	9	7	9	2	5	0	0	10	20	驱除有益的魔法。	FLYING_ARMY
龙蝇	龙蝇	0	0	0	0	0	0	240	250	312	8	0	20	13	8	10	2	5	0	0	10	16	驱除有益的魔法。削弱敌人。	FLYING_ARMY
蜥蜴	蜥蜴	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	0	8	16	使敌人石化。	DOUBLE_WIDE
巨蜥	巨蜥	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	0	8	12	使敌人石化。	DOUBLE_WIDE
飞龙	飞龙	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
飞龙王	飞龙王	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	使敌人中毒。	DOUBLE_WIDE | FLYING_ARMY
九头怪	九头怪	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	0	4	10	攻击邻近的所有敌人。敌人不会反击。	DOUBLE_WIDE | KING_1
终极九头怪	终极九头怪	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	0	3	8	攻击邻近的所有敌人。敌人不会反击。	DOUBLE_WIDE | KING_1
																								
																								
																								
气元素	气元素	0	0	0	0	0	0	250	324	356	6	0	25	7	9	9	2	8	0	0	8	12	害怕霹雳闪电、连锁闪电和连珠火球。	0
土元素	土元素	0	0	0	0	0	0	400	415	330	4	0	40	4	10	10	4	8	0	0	16	30	害怕流星火雨。	0
火元素	火元素	0	0	0	0	0	0	350	345	345	5	0	35	6	10	8	4	6	0	0	16	25	"不怕火系魔法。
害怕霹雳寒冰、寒冰魔环。"	0
水元素	水元素	0	0	0	0	0	0	300	315	315	6	0	30	5	8	10	3	7	0	0	12	25	不怕寒冰魔法。害怕连珠火球、烈火魔墙与烈火神盾。	0
金人	金人	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	0	10	16	受魔法攻击时损伤减少85%。	0
钻石人	钻石人	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	0	8	12	受魔法攻击时损伤减少95%。	0
																								
																								
																								
小精灵	小精灵	0	0	0	0	0	0	25	40	55	20	10	3	7	2	2	1	2	0	0	20	50		FLYING_ARMY
精灵	精灵	0	0	0	0	0	0	30	70	95	20	10	3	9	2	2	1	3	0	0	20	30	敌人不会反击。	FLYING_ARMY | const_free_attack
精神元素	精神元素	0	0	0	0	0	0	750	1431	1669	2	0	75	7	15	13	10	20	0	0	8	16	攻击邻近所有敌人，不受反击。不怕控制心智的魔法。	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
魔法元素	魔法元素	0	0	0	0	0	0	800	1724	2012	2	0	80	9	15	13	15	25	0	0	8	12	攻击邻近的所有敌人。敌人不会反击。不怕任何魔法。	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
冰元素	冰元素	0	0	0	0	0	0	375	315	380	6	0	30	6	8	10	3	7	24	3	12	20	不怕控制心智的魔法和水系魔法，怕火系魔法。	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (2) 	NOT USED (2) 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
石元素	石元素	0	0	0	0	0	0	500	490	490	4	0	40	6	11	11	6	10	0	3	16	25	不怕控制心智的魔法，能施放御土奇术魔法。	IMMUNE_TO_MIND_SPELLS
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
雷元素	雷元素	0	0	0	0	0	0	275	324	486	6	0	25	8	9	9	2	8	24	3	6	12	肉搏战中杀伤力不减。害怕闪电魔法和连珠火球魔法。	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
烈火元素	烈火元素	0	0	0	0	0	0	400	360	470	5	0	35	8	12	8	4	6	0	3	12	25	能施放御火奇术，不怕心智和火系魔法，怕水系魔法。	IMMUNE_TO_MIND_SPELLS | IMMUNE_TO_FIRE_SPELLS | FLYING_ARMY
火鸟	火鸟	0	0	0	0	0	0	1500	3248	4547	2	0	150	15	18	18	30	40	0	0	4	10	喷出烈火进行攻击，不怕火魔法。	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
凤凰	凤凰	0	1	0	0	0	0	2000	4929	6721	2	0	200	21	21	18	30	40	0	1	4	10	喷出烈火进行攻击，不怕火魔法。复活。	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
																								
																								
																								
圣龙	圣龙	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	使敌人恐惧。	DOUBLE_WIDE | FLYING_ARMY | KING_1
水晶龙	水晶龙	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	由水晶构成。	DOUBLE_WIDE | FLYING_ARMY | KING_1
紫龙	紫龙	0	0	0	0	0	8	10000	16317	19580	1	0	500	15	20	20	20	30	0	5	1	3	施放攻击魔法。	DOUBLE_WIDE | FLYING_ARMY | KING_1
毒龙	毒龙	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	毒液攻击。	DOUBLE_WIDE | FLYING_ARMY | KING_1
魔幻法师	魔幻法师	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	肉搏战中杀伤力不减。对盟友施放有益魔法。	SHOOTING_ARMY | const_no_melee_penalty
幻影射手	幻影射手	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12	远程射击杀伤力不减。	SHOOTING_ARMY
投石矮人	投石矮人	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	幸运	SHOOTING_ARMY
农民	农民	0	0	0	0	0	0	10	15	15	25	0	1	3	1	1	1	1	0	0	20	50		
野猪	野猪	0	0	0	0	0	0	150	145	145	8	0	15	6	6	5	2	3	0	0	16	30		
木乃伊	木乃伊	0	0	0	0	0	0	300	270	270	7	0	30	5	7	7	3	5	0	0	12	25	诅咒。	
游牧民	游牧民	0	0	0	0	0	0	200	285	345	7	0	30	7	9	8	2	6	0	0	12	25	沙地行走。	
盗贼	盗贼	0	0	0	0	0	0	100	135	135	8	0	10	6	8	3	2	4	0	0	16	30	打探情报。	
恶鬼	恶鬼	0	0	0	0	0	0	500	1024	1024	3	0	40	7	14	7	10	15	0	0	8	12	再生。	
																								
																								
																								
投石车	投石车	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	0	攻击城墙。	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
弩车	弩车	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	2	3	24	0	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
急救帐篷	急救帐篷	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	0	医治部队。	DOUBLE_WIDE | SIEGE_WEAPON
补给车	补给车	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	0	弹药量无限。	SIEGE_WEAPON
箭塔	箭塔	0	0	0	0	0	0	1000	5	400	0	0	100	0	10	5	2	4	99	0	0	0	弹药量无限。	SIEGE_WEAPON
至高大天使	至高大天使	0	0	0	0	0	4	10000	18250	26300	1	0	500	18	40	40	75	75	0	2	2	5	"+1(+2) 士气。复活两次。
无惧。不受反击。"	DOUBLE_WIDE | FLYING_ARMY | const_raises_morale | KING_2 | const_free_attack
钻石龙	钻石龙	0	0	0	0	3	0	8000	18750	25500	1	0	500	16	36	36	60	75	0	0	2	5	"免疫所有魔法。无惧
失明攻击。 +1 宝石/日。"	DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
雷神领主	雷神领主	0	0	0	0	0	3	10000	15000	22500	1	0	600	12	32	32	60	75	24	24	2	5	"射击2次。无肉搏处罚。
无惧。闪电攻击。自带气盾。"	SHOOTING_ARMY | const_no_melee_penalty | KING_3
地狱男爵	地狱男爵	0	3	0	0	0	0	9000	19250	25700	1	0	400	17	35	37	45	60	0	0	2	5	"-1(-2) 敌军幸运。无惧。
灵魂盗取。不受反击。"	FLYING_ARMY | KING_2
血龙	血龙	0	2	0	0	0	0	6000	12000	15000	1	0	400	14	25	23	38	75	0	0	2	5	"丧尸。-1(-2) 敌军士气。
吸取敌人的生命值。老化攻击。"	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
暗黑龙	暗黑龙	0	0	0	3	0	0	8000	20000	26000	1	0	600	15	33	33	60	75	0	0	2	5	"免疫所有魔法。使敌人恐惧。
攻击后返回。无惧。黑幕。"	DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK | const_free_attack
幽灵比蒙	幽灵比蒙	0	0	0	0	2	0	6000	16250	18250	1	0	600	11	25	25	45	75	0	0	2	5	"+1(+2) 幸运。忽视防御。
反击两次。忽视障碍。"	DOUBLE_WIDE | KING_1
地狱九头怪	地狱九头怪	0	0	0	2	0	0	7000	15750	17750	1	0	500	10	25	27	38	68	0	0	2	5	"酸液攻击。再生。
无惧。攻击不受反击。"	DOUBLE_WIDE | KING_1 | MULTI_HEADED | SHOOTING_ARMY | const_free_attack
神圣凤凰	神圣凤凰	0	3	0	0	0	0	5000	17750	23000	1	0	400	21	28	28	45	60	0	1	2	5	"免疫火系魔法。嗜杀者。
重生。自带火盾。"	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
鬼魂	鬼魂	0	0	0	0	0	0	500	150	250	8	0	5	8	11	8	1	2	0	0	16	30	"盗取亡灵。"	IS_UNDEAD | IS_GHOST | FLYING_ARMY
战争使者	战争使者	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"每周增加英雄的攻击能力 1-3 点"	
和平使者	和平使者	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"每周增加英雄的防御能力 1-3 点"	
魔力使者	魔力使者	0	0	0	0	0	0	30000	10	20000	0	0	2000	4	0	10	0	0	0	0	0	0	"每周增加英雄的力量 1-3 点"	
