Comment	Message Text
367	使该部队具有恐惧的能力。不能抵抗恐惧的敌人部队每回合都有一定几率被恐惧，被恐惧的部队本回合不能行动.
368	使该部队有额外的反击机会。也就是在同一回合里可以多次反击.
369	当部队防御时，使该部队获得比没有此技能时更多的防御点数.
370	使该部队获得更高的魔法抗性。这是类似矮人的抗魔，所以该部队如果抗魔成功，则完全抵抗该魔法；如果失败，则要完全承受该魔法。这种抗性会和该部队已有的其他抗性叠加.
371	使该部队获得降低魔法伤害的魔法抗性。这是类似傀儡的抗魔，这种抗魔是按一定百分比降低攻击魔法造成的伤害.
372	使该部队在射击时无视距离.
373	使该部队在射击时无视障碍（穿越城墙）.
374	使该部队具有飞行能力。可以自由地在战场上移动，无视移动路线中的所有障碍物。
375	使该部队具有射击能力。有射击能力的部队可以进行远程攻击，且不会被反.
376	使该部队具有龙息攻击。龙息攻击是一种能同时攻击两个相邻部队的近身攻击方式，龙息攻击的间接伤害不分敌我，所以当有己方部队在敌人身后时，请小心使用龙息攻击.

注意: 如果该部队同时具有环击和龙息攻击，龙息将不起作用.
377	使该部队成为有生命生物，有生命的生物可以用复活魔法来复活.
378	This bonus designates the stack as being in the King 1 category.
This means that it is susceptible to the Basic Slayer spell.
379	This bonus designates the stack as being in the King 2 category.
This means that it is susceptible to the Advanced Slayer spell.
380	This bonus designates the stack as being in the King 3 category.
This means that it is susceptible to the Expert Slayer spell.
381	使该部队免疫所有精神魔法，包括孤注一掷和激励士气等有益的精神魔法.
382	使该远程部队在近身攻击时不受伤害减半的惩罚. 
383	使该部队免疫所有火魔法，包括嗜血等有益的火魔法.
384	使该部队具有两次攻击的能力。当该部队主动攻击时（包括远程和近身），会连续攻击两次.
385	使该部队具有不反击的能力。当该部队攻击敌人时，被攻击部队不能反击.
386	使该部队不受士气影响。该部队会一直保持在正常的士气，在战斗中也不会有士气方面的奖励或惩罚.
387	使该部队成为亡灵。亡灵生物不能被复活魔法复活，但是可以用操纵亡灵魔法来复活。亡灵生物能够免疫一些特定的魔法和特技.
388	使该部队具有环击能力。当该部队近身攻击时，会攻击它周围所有的敌方部队.

注意: 如果该部队同时具有环击和龙息攻击，龙息将不起作用.
389	使该部队具有龙的天性。此时该部队能够得到只对龙族起作用的宝物的奖励，例如龙之血瓶.
390	使该部队具有“攻击并返回”的能力。该部队在近身攻击后，会返回其初始位置。如果要使部队攻击后不返回，右键点击防御按钮，然后从弹出菜单中选择。任何时候都可以进行此操作.
391	使该部队具有冲锋的能力。具有此能力的部队在发动近身攻击时，每多走一格就能增加5%的伤害值.
392	使该部队永远都有高昂的士气。具有此能力后，该部队的最低士气为+1.
393	使该部队在被敌人贴身时也能射击.
394	使该部队抵抗恐惧。具有此能力的部队不受敌方部队所带的恐惧能力的影响.
395	使该部队具有复活的能力。当具有此能力的部队被全部消灭后，会以一定的百分比自动复活一部分，能够复活的次数由战斗中的施法次数决定.
396	使该部队具有独角兽抗魔结界的能力。此结界给予所有在身边的己方部队20%的抗魔能力（矮人类）.
397	使该部队有一定几率完全格挡物理攻击（包括远程和近身）。如果格挡成功，该部队将不会受到伤害.
398	使该部队能够减少己方英雄施放魔法的消耗，但每个魔法至少要消耗一点.
399	使该部队有一定几率打出致命一击。出现致命一击时，造成的伤害值加倍.
400	使该部队能够对特定的生物造成额外的伤害。所增加的伤害随等级提升.
401	使该部队具有再生能力。当该部队生命不满时，每回合自动再生一次。再生所恢复的最大生命由生物种类和生物等级决定.
402	使该部队在攻击后有一定几率施放非直接杀伤性或立刻起效的魔法，魔法的效果持续三回合.

注意：这个几率和生物自身带有的魔法(如果有的话)相互独立.
403	使该部队有一定几率在发动攻击前施放一个专家级魔法。如果该魔法是单体魔法，则对被攻击目标施放。如果该魔法的专家级是全体魔法，那么祝福类的就对所有己方部队施放，杀伤类的就对所有敌方部队施放.注意:在战场上正常作用于全体部队的某些魔法依然作用于全体部队.例如,末日审判将作用于全体部队,敌人和自己.
404	使该部队有一定几率在发动攻击前对攻击目标施放一个初级或高级魔法.注意:在战场上正常作用于全体部队的某些魔法依然作用于全体部队.例如,末日审判将作用于全体部队,敌人和自己.
405	使该部队有一定几率在攻击后施放一个专家级魔法。如果该魔法是单体魔法，则对被攻击目标施放。如果该魔法的专家级是全体魔法，那么祝福类的就对所有己方部队施放，杀伤类的就对所有敌方部队施放.注意:在战场上正常作用于全体部队的某些魔法依然作用于全体部队.例如,末日审判将作用于全体部队,敌人和自己.

注意：这个几率和生物自身带有的魔法(如果有的话)相互独立.
406	使该部队有一定几率在攻击后对攻击目标施放一个初级或高级魔法.注意:在战场上正常作用于全体部队的某些魔法依然作用于全体部队.例如,末日审判将作用于全体部队,敌人和自己.

注意：这个几率和生物自身带有的魔法(如果有的话)相互独立.
407	使该部队在战斗期间得到魔法的强化。如果魔法被驱散，下回合会重新出现。魔法的种类和等级由部队的等级决定。对于某些生物，在一定级别以后，魔法强化的效果可以影响所有的己方部队.
408	w undefined yet ability (reserved)
409	使该部队在攻击时降低攻击目标的防御。发动攻击时，以一定的百分比降低目标的防御力，攻击后防御力恢复.
410	加强该部队死亡凝视的能力。随着等级的提升，出现死亡凝视的几率加大，杀死的敌人也更多.
411	使该部队能偏移一部分伤害。降低的伤害以一定百分比来计算，该百分比会随等级提升.

注意：降低的伤害在战斗时的文字信息里不能显示出来，但作用确实存在.
412	使该部队有一定几率偏移一部分伤害。如果偏移成功，降低的伤害以一定百分比来计算，该百分比会随等级提升.

注意：降低的伤害在战斗时的文字信息里不能显示出来，但作用确实存在.
413	使圣侏儒的护卫由未升级生物变为升级的生物.
414	使圣侏儒的护卫数量增加.
415	使部队在战场上能自动召唤一队生物。只有该部队身边还有空位，从第二回合开始，召唤生物就会出现，其数量按原部队的一定百分比计算。只要还有空位，接下来的每四回合，都会出现一队新的召唤生物.
416	使部队在战场上能自动召唤一队生物。如果该部队身边还有空位，召唤生物会在第二回合出现，其数量按原部队的一定百分比计算.
417	使该部队在战场上能自动召唤一个克隆体。只有该部队身边还有空位，从第二回合开始，克隆体就会出现，其数量按本体的一定百分比计算。只要还有空位，接下来的每回合都会出现新的克隆体.

注意：当本体被消灭后，这些克隆体并不会立即消失，这一点和克隆魔法不同.
418	使该部队免疫所有1级魔法，包括有益的魔法.
419	使该部队免疫所有1级魔法，但不包括有益的魔法.
420	使该部队免疫所有1-2魔法，包括有益的魔法.
421	使该部队免疫所有1-2魔法，但不包括有益的魔法.
422	使该部队免疫所有1-3魔法，包括有益的魔法.
423	使该部队免疫所有1-3魔法，但不包括有益的魔法.
424	使该部队免疫所有1-4级魔法，包括有益的魔法.
425	使该部队免疫所有1-4级魔法，但不包括有益的魔法.
426	使该部队免疫所有魔法，包括有益的魔法.
427	使该部队免疫所有魔法，但不包括有益的魔法.
428	使该部队对冰魔法免疫：冰箭和冰环.
429	使该部队对末日魔法免疫.
430	使该部队免疫气系魔法，包括有益的魔法.
431	使该部队免疫气系魔法，但不包括有益的魔法.
432	使该部队免疫火系魔法，包括有益的魔法.
433	使该部队免疫火系魔法，但不包括有益的魔法.
434	使该部队免疫水系魔法，包括有益的魔法.
435	使该部队免疫水系魔法，但不包括有益的魔法.
436	使该部队免疫土系魔法，包括有益的魔法.
437	使该部队免疫土系魔法，但不包括有益的魔法.
438	使该部队对下列杀伤性魔法免疫：闪电、泰坦之雷、链状闪电.
439	消除该部队对有益魔法的抗性(比如，如果黑龙获得此能力，则可以对其使用任何等级的有益魔法).
440	使该部队对流星雨魔法免疫.
441	使该部队对爆裂魔法免疫.
442	使该部队对驱散魔法免疫.
443	使该部队免疫针对有益魔法的驱散(龙蝇的特技).
444	使该部队对失明魔法免疫.
445	使该部队对发狂魔法免疫.
446	使该部队对催眠魔法免疫.
447	使该部队对减速魔法免疫.
448	使该部队对下列火系杀伤性魔法免疫：火墙、火球、地雷、末日、火盾、地狱火.
449	使该部队对下列杀伤性魔法免疫：魔箭、闪电、链状闪电、流星雨、爆裂、火球、末日、火盾、地狱火、冰箭、冰环.
450	使该部队对敌方的驱散免疫.
451	使该部队对下列精神魔法免疫：失明、发狂、悲痛、催眠、健忘.
452	战神旗帜(右击改变属性)
453	当前的奖励是(战斗中不能改变):
454	注意：在战斗中或察看生物信息时不能改变战神旗帜的奖励属性
455	右击可以看到更多的关于部队经验的细节
456	
457	
458	
459	
